[02/15/26 23:51:20] INFO     signals-bot starting                                                                                                                              
                    INFO     run_id=daily_close_scan-20260215T215120Z                                                                                                          
                    INFO     config=/Users/talshitrit/Workspace/Personal/trading/trading-signals/config.yaml                                                                   
                    INFO     Universe size: 114 tickers                                                                                                                        
[02/15/26 23:51:21] INFO     WAIT AA conf=10 score=0.102 close=$59.95 volRatio=1.06 ret5=1.34% brkDist=7.77% atr=6.03% :: no breakout, weak momentum, low volume               
[02/15/26 23:51:22] INFO     WAIT AAL conf=6 score=0.056 close=$13.88 volRatio=0.84 ret5=-8.92% brkDist=12.10% atr=4.85% :: no breakout, weak momentum, low volume             
                    INFO     WAIT AAMI conf=3 score=0.035 close=$51.85 volRatio=0.52 ret5=1.71% brkDist=8.17% atr=4.65% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:23] INFO     WAIT AAOI conf=4 score=0.042 close=$44.46 volRatio=0.50 ret5=0.36% brkDist=12.48% atr=13.79% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:24] INFO     WAIT AAP conf=30 score=0.302 close=$58.85 volRatio=2.29 ret5=6.42% brkDist=4.76% atr=5.89% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:25] INFO     WAIT ABAT conf=3 score=0.035 close=$3.80 volRatio=0.52 ret5=-8.76% brkDist=27.62% atr=10.81% :: no breakout, weak momentum, low volume            
                    INFO     WAIT ABCL conf=4 score=0.040 close=$3.10 volRatio=0.59 ret5=-1.90% brkDist=36.08% atr=8.39% :: no breakout, weak momentum, low volume             
[02/15/26 23:51:26] INFO     WAIT ABEO conf=2 score=0.025 close=$5.01 volRatio=0.37 ret5=-2.34% brkDist=11.87% atr=4.54% :: no breakout, weak momentum, low volume             
                    INFO     WAIT ABSI conf=5 score=0.053 close=$2.55 volRatio=0.80 ret5=-5.38% brkDist=24.78% atr=8.45% :: no breakout, weak momentum, low volume             
[02/15/26 23:51:27] INFO     WAIT ABUS conf=3 score=0.033 close=$3.98 volRatio=0.49 ret5=3.65% brkDist=16.47% atr=7.79% :: no breakout, weak momentum, low volume              
                    INFO     WAIT ACAD conf=5 score=0.048 close=$22.03 volRatio=0.72 ret5=-6.49% brkDist=20.78% atr=4.44% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:28] INFO     WAIT ACHC conf=81 score=0.812 close=$16.77 volRatio=0.92 ret5=25.43% brkDist=-4.36% atr=5.60% :: low volume                                       
                    INFO     WAIT ACHR conf=5 score=0.046 close=$6.77 volRatio=0.68 ret5=-7.26% brkDist=27.13% atr=6.28% :: no breakout, weak momentum, low volume             
[02/15/26 23:51:29] INFO     WAIT ACIW conf=5 score=0.051 close=$39.56 volRatio=0.76 ret5=-6.43% brkDist=13.47% atr=4.66% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:30] INFO     WAIT ACLX conf=6 score=0.057 close=$68.50 volRatio=0.80 ret5=0.69% brkDist=10.46% atr=3.86% :: no breakout, weak momentum, low volume             
                    INFO     WAIT ACMR conf=15 score=0.145 close=$64.84 volRatio=0.86 ret5=3.78% brkDist=9.50% atr=8.27% :: no breakout, weak momentum, low volume             
[02/15/26 23:51:31] INFO     WAIT ACRS conf=2 score=0.017 close=$3.19 volRatio=0.25 ret5=-10.64% brkDist=34.76% atr=8.48% :: no breakout, weak momentum, low volume            
                    INFO     WAIT ACVA conf=6 score=0.062 close=$6.61 volRatio=0.93 ret5=-10.31% brkDist=27.08% atr=6.55% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:33] INFO     WAIT ADEA conf=11 score=0.109 close=$18.80 volRatio=0.72 ret5=3.87% brkDist=7.53% atr=4.62% :: no breakout, weak momentum, low volume             
                    INFO     WAIT ADMA conf=8 score=0.079 close=$16.09 volRatio=1.19 ret5=-2.07% brkDist=12.22% atr=4.55% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:34] INFO     WAIT ADNT conf=33 score=0.326 close=$27.09 volRatio=1.10 ret5=2.38% brkDist=0.40% atr=4.67% :: no breakout, weak momentum, low volume             
                    INFO     WAIT ADPT conf=5 score=0.047 close=$16.04 volRatio=0.70 ret5=1.71% brkDist=18.99% atr=7.14% :: no breakout, weak momentum, low volume             
[02/15/26 23:51:35] INFO     WAIT ADTN conf=12 score=0.120 close=$10.13 volRatio=0.84 ret5=2.74% brkDist=4.34% atr=4.63% :: no breakout, weak momentum, low volume             
                    INFO     WAIT ADUR conf=2 score=0.025 close=$10.89 volRatio=0.37 ret5=-6.12% brkDist=29.50% atr=9.94% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:36] INFO     WAIT AEHR conf=26 score=0.260 close=$28.84 volRatio=0.98 ret5=9.28% brkDist=23.07% atr=12.18% :: no breakout, weak momentum, low volume           
[02/15/26 23:51:37] INFO     WAIT AEO conf=21 score=0.207 close=$25.48 volRatio=0.94 ret5=7.24% brkDist=4.53% atr=4.12% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:38] INFO     WAIT AES conf=10 score=0.099 close=$16.28 volRatio=0.98 ret5=1.43% brkDist=2.98% atr=3.56% :: no breakout, weak momentum, low volume              
                    INFO     WAIT AESI conf=4 score=0.038 close=$11.77 volRatio=0.52 ret5=0.17% brkDist=5.23% atr=5.53% :: no breakout, weak momentum, low volume              
                    INFO     WAIT AEVA conf=13 score=0.133 close=$13.58 volRatio=0.52 ret5=9.52% brkDist=39.96% atr=9.24% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:39] INFO     WAIT AFRM conf=9 score=0.086 close=$49.81 volRatio=1.30 ret5=-12.66% brkDist=34.37% atr=8.57% :: no breakout, weak momentum, low volume           
[02/15/26 23:51:40] INFO     WAIT AG conf=15 score=0.150 close=$22.96 volRatio=0.70 ret5=4.41% brkDist=17.69% atr=9.20% :: no breakout, weak momentum, low volume              
                    INFO     WAIT AGI conf=36 score=0.358 close=$45.25 volRatio=0.94 ret5=12.65% brkDist=3.02% atr=6.54% :: no breakout, low volume                            
[02/15/26 23:51:41] INFO     WAIT AGIO conf=8 score=0.077 close=$27.96 volRatio=0.71 ret5=5.39% brkDist=6.58% atr=4.40% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:42] INFO     WAIT AHCO conf=5 score=0.047 close=$10.20 volRatio=0.70 ret5=-4.23% brkDist=6.68% atr=4.01% :: no breakout, weak momentum, low volume             
                    INFO     WAIT AI conf=5 score=0.050 close=$10.78 volRatio=0.75 ret5=-7.47% brkDist=24.08% atr=8.72% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:43] INFO     WAIT AIP conf=15 score=0.152 close=$14.62 volRatio=2.28 ret5=-2.08% brkDist=19.89% atr=6.81% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:44] INFO     WAIT ALGM conf=8 score=0.078 close=$42.38 volRatio=0.49 ret5=1.95% brkDist=3.37% atr=5.41% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:45] INFO     WAIT ALH conf=4 score=0.040 close=$23.38 volRatio=0.59 ret5=-2.66% brkDist=6.89% atr=3.53% :: no breakout, weak momentum, low volume              
                    INFO     WAIT ALHC conf=5 score=0.047 close=$20.19 volRatio=0.71 ret5=-7.17% brkDist=15.42% atr=5.38% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:46] INFO     WAIT ALK conf=5 score=0.050 close=$55.27 volRatio=0.74 ret5=-7.03% brkDist=8.84% atr=4.96% :: no breakout, weak momentum, low volume              
